HIP,Name,Constellation,Magnitude,Spectrum,Distance,Right ascension,Declinaison
32349,Sirius,CMA,-1.44,A0,8.6,6.7525,-16.7161
30438,Canopus,CAR,-0.62,F0Ib,309,6.3992,-52.6957
69673,Arcturus,BOO,-0.05,K2IIIp,36.7,14.261,19.1824
71683,Toliman,CEN,-0.01,G2V,4.32,14.6608,-60.834
91262,Vega,LYR,0.03,A0,25,18.6156,38.7837
24608,Capella,AUR,0.08,M1 comp,42.8,5.2782,45.998
24436,Rigel,ORI,0.18,B8Ia,863,5.2423,-8.2016
37279,Procyon,CMI,0.4,F5IV-V,11.5,7.655,5.225
7588,Achernar,ERI,0.45,B3Vp,139,1.6286,-57.2368
27989,Betelgeuse,ORI,0.45,M2Ib,498,5.9195,7.4071
68702,Hadar,CEN,0.61,B1III,392,14.0637,-60.373
97649,Altair, AQL,0.76,A7IV-V,16.7,19.8464,8.8683
60718,Acrux,CRU,0.77,B0.5IV,322,12.4433,-63.0991
21421,Aldebaran,TAU,0.87,K5III,66.6,4.5987,16.5093
65474,Spica,VIR,0.98,B1V,250,13.4199,-11.1613
80763,Antares,SCO,1.06,M1Ib + B2.5V,554,16.4901,-26.432
37826,Pollux,GEM,1.16,K0IIIvar,33.8,7.7553,28.0262
113368,Fomalhaut,PSA,1.17,A3V,25.1,22.9608,-29.6222
62434,Mimosa,CRU,1.25,B0.5III,279,12.7954,-59.6888
102098,Deneb,CYG,1.25,A2Ia,1.412,20.6905,45.2803
71681,Gl 559B,CEN,1.35,K1V,4.32,14.6603,-60.8383
49669,Regulus,LEO,1.36,B7V,79.3,10.1395,11.9672
33579,Adhara,CMA,1.5,B2II,405,6.9771,-28.9721
36850,Castor,GEM,1.58,A2Vm,50.9,7.5766,31.8883
61084,Gacrux,CRU,1.59,M4III,88.6,12.5194,-57.1132
85927,Shaula,SCO,1.62,B1.5IV+...,571,17.5601,-37.1038
25336,Bellatrix,ORI,1.64,B2III,252,5.4189,6.3497
25428,Elnath,TAU,1.65,B7III,134,5.4382,28.6075
45238,Miaplacidus,CAR,1.67,A2IV,113,9.22,-69.7172
26311,Alnilam,ORI,1.69,B0Ia,1.977,5.6036,-1.2019
109268,Alnair,GRU,1.73,B7IV,101,22.1372,-46.961
26727,Alnitak,ORI,1.74,O9.5Ib SB,736,5.6793,-1.9426
39953,Regor,VEL,1.75,WC8 + O9I,1.117,8.1589,-47.3366
62956,Alioth,UMA,1.76,A0p,82.5,12.9005,55.9598
15863,Mirfak,PER,1.79,F5Ib,506,3.4054,49.8612
90185,Kaus Australis,SGR,1.79,B9.5III,143,18.4029,-34.3846
54061,Dubhe,UMA,1.81,F7V comp,123,11.0622,61.751
34444,Wezen,CMA,1.83,F8Ia,1.607,7.1399,-26.3932
67301,Alkaid,UMA,1.85,B3V SB,104,13.7924,49.3133
41037,Avior,CAR,1.86,K3III+B2V,605,8.3752,-59.5095
86228,Salgaz,SCO,1.86,F1II,300,17.622,-42.9978
28360,Menkalinan,AUR,1.9,A2V,81.1,5.9921,44.9474
82273,Atria,TRA,1.91,K2IIb-IIIa,391,16.8111,-69.0277
31681,Alhena,GEM,1.93,A0IV,109,6.6285,16.3993
42913,Koo She,VEL,1.93,A1V,80.6,8.7451,-54.7088
100751,Peacock,PAV,1.94,B2IV,179,20.4275,-56.7351
11767,Polaris,CET,1.97,F7Ib-IIv SB,433,2.5298,89.2641
30324,Mirzam,CMA,1.98,B1II/III,493,6.3783,-17.9559
9884,Hamal,ARI,2.01,K2III,65.8,2.1196,23.4624
50583,Algieba,LEO,2.01,K0III,130,10.3329,19.8415
3419,Diphda,CET,2.04,K0III,96.3,0.7265,-17.9866
92855,Nunki,SGR,2.05,B2.5V,228,18.9211,-26.2967
68933,Menkent,CEN,2.06,K0IIIb,58.8,14.1114,-36.37
677,Alpheratz,PSC,2.07,B9p,97,0.1398,29.0904
5447,Mirach,AND,2.07,M0IIIvar,197,1.1622,35.6206
27366,Saiph,ORI,2.07,B0.5Iavar,647,5.7959,-9.6696
72607,Kochab,UMI,2.07,K4IIIvar,131,14.8451,74.1555
112122,Gruid,GRU,2.07,M5III,177,22.7111,-46.8846
86032,Rasalhague,OPH,2.08,A5III,48.6,17.5822,12.56
14576,Algol,PER,2.09,B8V,89.9,3.1361,40.9556
9640,Almach,AND,2.1,B8V,393,2.065,42.3297
57632,Denebola,LEO,2.14,A3Vvar,35.9,11.8177,14.5721
4427,Navi,CAS,2.15,B0IVevar,549,0.9451,60.7167
61932,Muhlifain,CEN,2.2,A1IV,130,12.692,-48.9599
39429,Naos,PUP,2.21,O5IAf,1.084,8.0597,-40.0031
45556,Aspidiske,CAR,2.21,A8Ib,766,9.2848,-59.2752
76267,Gemma,CRB,2.22,A0V,75,15.5781,26.7147
44816,Suhail,VEL,2.23,K4Ib-II,544,9.1333,-43.4326
65378,Mizar,UMA,2.23,A2V,85.8,13.3987,54.9254
100453,Sadr,CYG,2.23,F8Ib,1.832,20.3705,40.2567
3179,Schedar,CAS,2.24,K0II-IIIvar,228,0.6751,56.5373
87833,Eltanin,DRA,2.24,K5III,154,17.9434,51.4889
25930,Mintaka,ORI,2.25,O9.5II,692,5.5334,-0.2991
746,Caph,CAS,2.28,F2III-IV,54.7,0.1529,59.1498
66657,Al Birdhaun,CEN,2.29,B1III,427,13.6648,-53.4664
78401,Dschubba,SCO,2.29,B0.2IV,491,16.0056,-22.6217
82396,Wei,SCO,2.29,K2IIIb,63.7,16.8361,-34.2932
71860,Kakkab,LUP,2.3,B1.5III,465,14.6988,-47.3882
71352,,CEN,2.33,B1Vn + A,306,14.5918,-42.1578
53910,Merak,UMA,2.34,A1V,79.7,11.0307,56.3824
72105,Izar,BOO,2.35,A0,203,14.7498,27.0742
107315,Enif,PEG,2.38,K2Ibvar,690,21.7364,9.875
86670,Girtab,SCO,2.39,B1.5III,483,17.7081,-39.03
2081,Ankaa,PHE,2.4,K0III...,84.7,0.4381,-42.306
58001,Phecda,UMA,2.41,A0V SB,83.2,11.8972,53.6948
